question,label
nr演员演了哪些电影,0
nr演了什么电影,0
nr出演了什么电影,0
nr演过什么电影,0
nr演过哪些电影,0
nr过去演过哪些电影,0
nr以前演过哪些电影,0
nr演过的电影有什么,0
nr有哪些电影,0
nm电影的演员有哪些,1
nm有哪些演员出演,1
nm是由哪些人演的,1
nm中参演的演员都有哪些,1
nm中哪些人演过,1
nm这部电影的演员都有哪些,1
nm这部电影中哪些人演过,1
nm电影是什么风格,2
nm的风格是什么,2
nm是什么风格的电影,2
nm的格调是什么,2
nm是什么格调的电影,2
nm是什么类型的电影,2
nm的类型是什么,2
nm是什么类型的,2
nm电影评分是多少,3
nm得了多少分,3
nm的评分有多少,3
nm的评分,3
nm的分数是,3
nm电影分数是多少,3
nm评分,3
nm的分数是多少,3
nm这部电影的评分是多少,3
nr演员演过哪些类型的电影,4
nr演过哪些风格的电影,4
nr演过的电影都有哪些风格,4
nr演过的电影有哪些类型,4
nr演过风格的电影,4
nr演过类型的电影,4
nr演过题材的电影,4
nm电影的上映时间是,5
nm的上映时间是什么时候,5
nm的首映时间是什么时候,5
nm什么时候上映,5
nm什么时候首映,5
nm什么时候在影院上线,5
什么时候可以在影院看到nm,5
nm什么时候在影院放映,5
nm什么时候首播,5
nr演员和nr演员合作过哪些电影,6
nr和nr合作的电影有哪些,6
nr和nr一起拍了哪些电影,6
nr和nr一起演过哪些电影,6
nr与nr合拍了哪些电影,6
nr和nr合作了哪些电影,6
nr演员出演过多少部电影,7
nr一共参演过多少电影,7
nr演过多少部电影,7
nr演过多少电影,7
nr参演的电影有多少,7
